x y z
0.0005418945 0.4646230957 0.3962819092 
0.5514039307 0.9406341309 0.1400562988 
0.0072865723 0.9313960938 0.0958836914 
0.1246929199 0.0186769775 0.2956236084 
0.6643160645 0.1689662354 0.5000707031 
0.3648657227 0.1380186279 0.3350772217 
0.8213330322 0.1490755859 0.2277200439 
0.8983757324 0.9223245117 0.0200258057 
0.0587451904 0.2274654541 0.4997895508 
0.1249238037 0.6274370850 0.4067584473 
0.2728013672 0.0782728027 0.0518737061 
0.8800384277 0.2203403320 0.7916783936 
0.9547630615 0.8236899902 0.8832770264 
0.2838137451 0.6028324463 0.0459628418 
0.3573564453 0.2433570557 0.3225760498 
0.1776947266 0.6485259521 0.3748479736 
0.5568348389 0.9678878418 0.2299343262 
0.6421748779 0.2122600098 0.8969297852 
0.1327371338 0.1919164307 0.0507184326 
0.9368822998 0.2854586426 0.3534035400 
0.0071781006 0.0176747803 0.6212811279 
0.1838278076 0.8979429932 0.5811670166 
0.7582154053 0.9574783447 0.2227781982 
0.7594117432 0.2311426514 0.3264809082 
0.0371386475 0.0823473145 0.9274724365 
0.0652453857 0.4559424316 0.0526114014 
0.7042718018 0.1896225098 0.5608240723 
0.1459424561 0.0941617676 0.7899689209 
0.3660950928 0.9297952393 0.6405406006 
0.6215844971 0.8544498535 0.7251314209 
0.6504596191 0.9818312744 0.5832236084 
0.2214375732 0.5647683105 0.0989030273 
0.8959227539 0.2782703857 0.2845260254 
0.9935530762 0.3344282959 0.2464533936 
0.9873743408 0.9443755127 0.2152040039 
0.3776572510 0.4524448242 0.3575549805 
0.0854472168 0.5016501221 0.9163211426 
0.7596661621 0.1023755371 0.7311721436 
0.7403888184 0.2889691406 0.8513755615 
0.2146387451 0.2678754395 0.9977859131 
0.1071831543 0.1135529297 0.1530342285 
0.5275093994 0.0000759277 0.7088534424 
0.1735248535 0.9811907715 0.9507896973 
0.5781490234 0.0031030273 0.9648567871 
0.2745402100 0.9633817139 0.1886499023 
0.1449180420 0.3485127930 0.5925020020 
0.1238857178 0.4065137695 0.0551789551 
0.3851845703 0.9256651123 0.9832437012 
0.4510246582 0.9167435303 0.3306177246 
0.0159391602 0.4540569824 0.2483890869 
0.3514913086 0.9167168213 0.2097062744 
0.4108541504 0.1183896240 0.8560375732 
0.8099332764 0.6946027588 0.2000471191 
0.5039511963 0.8244737793 0.0778225586 
0.6793658936 0.2418072998 0.8255856934 
0.5415850586 0.1049000977 0.1782301514 
0.2568735352 0.0797364746 0.5002693115 
0.7173610596 0.1432783691 0.7571416504 
0.2696731445 0.5317756592 0.2009918701 
0.5082156494 0.1400225098 0.3416343994 
0.4335420898 0.3282053955 0.3222314941 
0.0239122559 0.3016414551 0.0580335205 
0.2716373291 0.2182414795 0.3879799316 
0.0722764404 0.6448314697 0.9269373535 
0.2594700928 0.8491607910 0.1800715332 
0.3314183350 0.9639712646 0.1520373291 
0.9819210449 0.8680711426 0.3454223633 
0.5648825195 0.4438220703 0.2296676758 
0.8210569580 0.6447930176 0.1463788574 
0.9078234131 0.9947696777 0.0319203857 
0.3686212158 0.9239207275 0.5649025879 
0.8740379883 0.8787343750 0.8876019531 
0.1432927002 0.8491382324 0.9348452637 
0.5777445313 0.0375664551 0.7197599854 
0.7299136719 0.1961113770 0.1920812500 
0.1255384766 0.1652407959 0.1949087402 
0.3513994385 0.9819206299 0.5898799561 
0.1704268555 0.8452357422 0.3914052490 
0.6509066650 0.3898245117 0.1646964600 
0.0384877441 0.5820375732 0.1261908203 
0.0261855469 0.3480134277 0.3178826172 
0.2797373535 0.0221136230 0.0775427734 
0.1105459717 0.7156629150 0.6202932129 
0.1734869873 0.3553021729 0.0677491699 
0.1189350342 0.4796386719 0.0356253174 
0.7897639893 0.1482285156 0.6934981689 
0.0242281738 0.2347985596 0.9433685303 
0.6912396484 0.2092114258 0.3270910645 
0.6876661377 0.5665975098 0.0963029541 
0.6743133789 0.7330706055 0.1726125244 
0.2750627441 0.9023201172 0.9046698486 
0.8910768555 0.4338052734 0.9859171631 
0.3885147705 0.8764814941 0.9193758545 
0.1501137695 0.5749277832 0.3329582031 
0.9630403564 0.5606845459 0.9228529053 
0.9936782959 0.1858990234 0.4155837646 
0.0389809326 0.1469638672 0.8179266113 
0.0458996094 0.7544938477 0.6974056152 
0.6030251709 0.9492890381 0.5266239746 
0.1517438477 0.3083822266 0.7090232178 
0.3278226074 0.0392902344 0.3721207520 
0.9376147461 0.0115867920 0.9488652100 
0.4715471436 0.2564115967 0.2888243164 
0.9652193359 0.1650705811 0.5135973633 
0.7028448486 0.7689826172 0.6164428467 
0.7332013428 0.1848901611 0.4902432861 
0.8925500488 0.3608376709 0.1880406738 
0.8606297119 0.0065369629 0.9918522461 
0.0190647461 0.9583308105 0.7323867676 
0.1210190430 0.7247215820 0.7826179932 
0.0222723877 0.6787011475 0.9561846436 
0.9219821777 0.7354905029 0.0170781738 
0.2196336426 0.3055246826 0.6908837402 
0.5564119873 0.0434188477 0.2005727783 
0.4883762939 0.9211105225 0.8869234375 
0.5983910156 0.1918847168 0.2741925049 
0.1408013184 0.1643371094 0.9924915283 
0.6060188721 0.4930376465 0.1454104004 
0.8474492676 0.3490379395 0.0410449463 
0.7477826904 0.0236026855 0.5313606445 
0.2066952393 0.7120558838 0.6779059570 
0.3973488281 0.9819860352 0.7231746338 
0.1704752686 0.9254052490 0.1856692627 
0.7383687012 0.6036295410 0.0845879639 
0.6524225830 0.7055025879 0.8598530762 
0.6439107910 0.0198698242 0.6946290283 
0.1581124268 0.7457426025 0.6554063232 
0.1473585205 0.4639791504 0.7490253906 
0.2555600342 0.9461074219 0.4061669434 
0.9578034180 0.3912028076 0.2316493652 
0.9432102295 0.0463735107 0.0193368652 
0.1263261719 0.4552387695 0.9515933594 
0.9301120850 0.3971141602 0.3391280029 
0.2914049561 0.1293951416 0.6891184326 
0.0216918945 0.1718690918 0.2662443848 
0.9276239258 0.3891293701 0.9469981934 
0.4325522949 0.9148164551 0.1295292725 
0.6536963867 0.3974773193 0.0056958984 
0.1007425049 0.6155798340 0.3484241699 
0.8660369873 0.0936608154 0.5821121094 
0.2547513916 0.4860064697 0.3725474121 
0.2799187256 0.7101554443 0.9874262207 
0.9826047607 0.2398239502 0.9859569580 
0.8476988037 0.9571411133 0.4681156006 
0.6592395264 0.9724004639 0.7510371582 
0.4717861328 0.1167165039 0.2818933594 
0.6044264404 0.9008928223 0.0239260010 
0.6645423096 0.9581827148 0.8904104004 
0.2143694824 0.2705482666 0.6307670898 
0.4365384033 0.5998222656 0.4146553467 
0.3650244385 0.8203246338 0.7234794434 
0.9230336182 0.9231487793 0.8539858398 
0.1036278564 0.1450961914 0.5487675537 
0.9523433350 0.2224751709 0.1055094727 
0.7253348633 0.1521984131 0.8247691895 
0.3628035156 0.0704367432 0.4976243652 
0.4536574463 0.9748637451 0.1560007080 
0.0309719238 0.8612673340 0.4971975342 
0.8199453369 0.2329407715 0.8425753906 
0.3061891357 0.0559289062 0.4687332520 
0.0521837158 0.9222224854 0.5270409912 
0.0449299561 0.5125657959 0.0318000977 
0.2257946533 0.3961849609 0.0216475586 
0.4779687988 0.7874559814 0.6846685547 
0.3657148682 0.1631400879 0.0205873535 
0.4844227295 0.5049226563 0.9456978760 
0.1591226318 0.4492942627 0.3741818604 
0.5562842285 0.9855377441 0.0900253662 
0.7783742432 0.8281939453 0.4832517334 
0.9899010742 0.1978589111 0.8252043457 
0.1767424805 0.3888662598 0.3986714355 
0.5083986328 0.5705295654 0.1215196045 
0.5077271973 0.4315335938 0.3318127686 
0.1680707520 0.9675084229 0.8901681885 
0.9742915771 0.2409566650 0.6993348145 
0.7567478271 0.0134759521 0.5960047119 
0.3781300781 0.1970601318 0.1813107666 
0.7068380859 0.8838971924 0.6101265381 
0.5250477051 0.4754478516 0.8915155029 
0.7767205566 0.1666346924 0.7710750244 
0.1209531494 0.9758437744 0.1719520752 
0.6375122314 0.2021517822 0.9787677734 
0.9055330322 0.0167326172 0.7058605469 
0.1957812500 0.1354500977 0.9718135986 
0.0093595947 0.5685476562 0.0089044434 
0.1954627686 0.6771153320 0.1383806396 
0.2287328857 0.9951463135 0.3234158936 
0.6066617676 0.1261062256 0.2941294189 
0.0557494141 0.5196266846 0.1055713623 
0.8960114746 0.6648738770 0.3613568115 
0.5367447266 0.1578501953 0.9902857178 
0.8214197266 0.1291641846 0.5545179932 
0.0025743652 0.5187239014 0.4395433838 
0.4394302734 0.1411496094 0.3479548584 
0.8770972900 0.9394154785 0.6979016357 
0.2818567871 0.2477876221 0.0939498291 
0.6095105469 0.6447024414 0.9659342041 
0.1230572021 0.4548529541 0.5620728027 
0.4536207275 0.1066430420 0.5902497559 
0.0478456543 0.5862457275 0.3965989990 
0.1257046631 0.4230782227 0.2450373047 
0.9399041992 0.9338237549 0.0704052246 
0.0872849609 0.6154791260 0.4917530029 
0.5310639648 0.6732112549 0.2903527588 
0.1985100586 0.2754192627 0.9338659180 
0.4366368164 0.9565418213 0.4689034424 
0.6250066162 0.2155590088 0.2131396484 
0.3688828857 0.9423199219 0.8323575439 
0.1071558838 0.5487380615 0.0169616211 
0.4636656006 0.9902013672 0.6035863281 
0.3544965820 0.6199221191 0.4277877930 
0.5049035889 0.8408488770 0.7333340088 
0.6355947998 0.5456752686 0.3249843262 
0.8224329102 0.0671819824 0.5201029297 
0.1060014404 0.3462156250 0.0284511963 
0.3293836914 0.4844868408 0.0455165283 
0.1485901123 0.9690733398 0.2452330078 
0.4346712646 0.5647037109 0.8626191650 
0.9083140381 0.8202760986 0.4981393066 
0.6262109375 0.8424651367 0.4936241699 
0.4394822266 0.2618576172 0.3417295898 
0.1745467529 0.1728318115 0.4865558594 
0.2827778564 0.7622364502 0.4348120117 
0.6467751709 0.9108328369 0.4944270264 
0.1677935547 0.7343161865 0.9584883789 
0.2427447510 0.1088354004 0.5639354248 
0.0094847900 0.9054691895 0.9671922119 
0.3843552979 0.8607302002 0.9768682373 
0.5611283691 0.5945788330 0.9555834473 
0.7239862549 0.8749367676 0.2836414307 
0.2539388428 0.8423495117 0.2480291992 
0.9457578369 0.7540758057 0.8929212402 
0.4091067627 0.6278561768 0.4672568115 
0.8183713623 0.5935407715 0.3182365234 
0.0348755859 0.9645507080 0.8032140137 
0.0775290283 0.4502550781 0.2847800781 
0.1968605713 0.4220874023 0.7193560303 
0.6524707275 0.6891853027 0.5075188721 
0.9311957275 0.0529155029 0.8245235840 
0.5087505615 0.2053831055 0.1332492920 
0.7589734863 0.0550870850 0.2796103027 
0.9793021729 0.2503423340 0.8974749512 
0.8247953613 0.0049131104 0.8547901367 
0.6304753906 0.9043433350 0.8494744141 
0.2359436768 0.7591514893 0.8147185303 
0.0883359131 0.9413708740 0.5845511963 
0.1768204834 0.2503099121 0.2697309814 
0.4300619873 0.6933004150 0.1198903320 
0.0923141602 0.8291120850 0.7168927002 
0.2636485840 0.9395014404 0.3414978760 
0.0382224365 0.1581658447 0.5235531982 
0.5601715332 0.8853438721 0.7429460693 
0.4862119629 0.5749462646 0.9505496582 
0.6884191650 0.8602668213 0.8407086914 
0.1548623291 0.5614402832 0.6174324463 
0.9966349121 0.1886829834 0.7227278564 
0.0928703125 0.8713468506 0.5003935059 
0.7175299805 0.3187334229 0.2708674316 
0.0793737793 0.7976833496 0.1760266113 
0.2856233154 0.2768152832 0.3426997803 
0.9000540527 0.1930546631 0.1355805176 
0.9537635498 0.0201167969 0.1260020020 
0.7767326172 0.8004382324 0.9201259277 
0.3467825195 0.6903359863 0.9700811523 
0.7373003174 0.0112763916 0.0455241699 
0.3812514648 0.8473812012 0.6646167236 
0.1254243652 0.9198034424 0.9428846191 
0.5059068848 0.1324239258 0.6843646729 
0.4997453369 0.6447971436 0.6722639404 
0.6773217773 0.0956116211 0.9390479736 
